رقم الصنف	اسم الصنف	الوحدة	الكمية المتوفرة	الشد			
AR_23926	مجموعة لصق خاصة بالشركة	كرتون	11.5	36			
							
AR_24250	حبل خيش 15 متر * 6مم	كرتون	0.5	72			
AR_24251	حبل خيش 10 متر * 8مم	كرتون	0.75	72			
AR_24259	خيط زينة 3حبات ملون	كرتون	2.5	72			
AR_24260	خيط زينة 4حبات ملون	كرتون	3.5	72			
AR_24261	خيط زينة 5 حبات ملون	كرتون	3	72			
AR_24262	خيط زينة ملون	كرتون	3.5	72			
AR_24263	خيط زينة 4 حبات ملون	كرتون	3.25	72			
AR_24264	خيط زينة 5 حبات ملون	كرتون	2	72			
AR_24359	مجموعة بالون	كرتون	0.43	100			
AR_24363	مجموعة بالون	كرتون	0.45	100			
AR_24380	حبيبات فلين هدايا	كرتون	2	60			
AR_24703	مغرف ماء	كرتون	6	60			
AR_24720	حافظة حبوب	كرتون	1	60			
AR_24763	زينة تعليق مواليد	كرتون	4.75	240			
AR_24764	زينه تعليق ورقي	كرتون	8	240			
AR_24765	زينه تعليق مواليد	كرتون	8	240			
AR_24784	كيس قماش	كرتون	1	72			
AR_24811	مجموعة العناية	كرتون	7.25	72			
AR_24812	مجموعة العناية	كرتون	5.25	72			
AR_24813	مجموعة العناية	كرتون	7.5	72			
AR_24814	مجموعة العناية	كرتون	1.25	72			
AR_24868	تلبيسة طاولة الكوي	كرتون	4.5	72			
AR_24891	ورق تغليف	كرتون	1	60			
AR_24902	قواعد انزلاق للأثاث 4 حبة	كرتون	1	72			
AR_24915	مفك علب متعدد	كرتون	1.5	72			
AR_25044	قمع معجنات	كرتون	2	72			
AR_25045	قمع معجنات	كرتون	0.25	72			
AR_25046	مطرقة لحم	كرتون	7	48			
AR_25047	خضاض	كرتون	2	72			
AR_25050	قطاعة عجين استيل	كرتون	0.5	72			
AR_25051	خرامة لحم	كرتون	6	96			
AR_25053	قطاعة  مقبض خشب	كرتون	2	72			
AR_25054	قشارة	كرتون	7	72			
AR_25058	مقسم لحم	كرتون	3	60			
AR_25086	صحون 3حبه المنيوم	كرتون	3	72			
AR_25089	صحون 3حبه المنيوم	كرتون	8	72			
AR_25099	طاوه المنيوم	كرتون	1	72			
AR_25109	طاسة 3 حبه المنيوم	كرتون	8.5	60			
AR_25166	منظم اكواب	كرتون	4	72			
AR_25174	منظم اكواب تعليقه	كرتون	4.5	72			
AR_25175	حامل مناشف مطبخ حديد ابيض+اسود	كرتون	4.5	72			
AR_25177	رف تعليق حديد	كرتون	5	60			
AR_25178	منظم متعدد الاستخدام	كرتون	7	72			
							
AR_25199	سلة تقديم مقليات اسود بمقبض	كرتون	3.25	72			
AR_25200	سلة تقديم مقليات اسود بمقبض	كرتون	3.25	72			
AR_25202	سلة تقديم مقليات	كرتون	9.75	72			
AR_25203	سلة تقديم مقليات اسود بمقبض	كرتون	6.75	72			
AR_25204	سلة تقديم مقليات اسود بمقبض	كرتون	7	72			
AR_25205	سلة تقديم مقليات بمقبض	كرتون	9	72			
AR_25253	علب حلويات	كرتون	3	60			
AR_25255	علب حلويات	كرتون	4	60			
AR_25265	حامل صابون	كرتون	0.875	72			
AR_25267	رف حمام زاوية	كرتون	1.5	72			
AR_25279	عدد زراعية	كرتون	2.5	60			
AR_25286	لوحات براويز صور	كرتون	1	60			
AR_25309	ليف سلك غسيل بكرت	كرتون	2	60			
AR_25324	علب هدايا	كرتون	3	36			
AR_25335	علب هدايا كبير	كرتون	1	60			
AR_25337	اكياس نفايات	كرتون	3	48			
AR_25338	اكياس نفايات	كرتون	1	48			
AR_25626	شنط قهوه صغير	كرتون	7.75	72			
AR_25629	شنط قهوه كبير	كرتون	2.25	48			
AR_25669	مطارات	كرتون	2.625	80			
AR_25671	مطارات	كرتون	1	60			
AR_25672	مطارات	كرتون	1.125	80			
AR_25673	ليفة استحمام	كرتون	1	40			
AR_25677	مناشف شعر	كرتون	1.5	72			
AR_25717	اعواد فاكهة خشبي	كرتون	2.25	72			
AR_25729	اداة تنظيف مغسلة المطبخ	كرتون	1	72			
AR_25768	سكاكين	كرتون	1	72			
AR_25775	قالب سمبوسه	كرتون	3.5	72			
AR_25783	مطارات	كرتون	0.5	48			
AR_25784	مطارات	كرتون	4	48			
AR_25788	زمزميات	كرتون	2.0625	48			
AR_25789	زمزميات	كرتون	1.375	48			
AR_25818	شريط لاصق حمايه الاثاث	كرتون	5	72			
AR_25919	مجموعه قرطاسية 5 في 1	كرتون	2	60			
AR_25921	دباسه	كرتون	5.5	60			
AR_25923	صمغ مع دبابيس	كرتون	7.5	80			
AR_25926	برايه	كرتون	0.35	60			
AR_25928	مجموعه اقلام رصاص	كرتون	5	72			
AR_25929	قرطاسية اقلام رصاص	كرتون	3	60			
AR_25930	قرطاسية اقلام حبر ازرق	كرتون	0.366667	60			
AR_25931	قرطاسية اقلام حبر اسود	كرتون	1	60			
AR_25934	مقلميه	كرتون	5.5	72			
AR_25940	الواح تلوين خشبيه	كرتون	4.5	96			
							
AR_25941	الواح تلوين خشبيه	كرتون	6.5	96			
AR_25944	تغريسات خشبيه	كرتون	4.5	48			
AR_25945	تغريسات خشبيه	كرتون	4.5	48			
AR_25946	العاب خشبية	كرتون	4.5	48			
AR_25948	تغريسات خشبيه	كرتون	2.5	48			
AR_25949	تغريسات خشبيه	كرتون	1.5	48			
AR_25950	تغريسات خشبيه	كرتون	4.5	48			
AR_25952	سبورة اطفال	كرتون	2	60			
AR_25971_96	العاب تعليمية	كرتون	0.75	96			
AR_25972	دفتر تلوين مع الوان مائية + شمعية	كرتون	7.25	60			
AR_25973	العاب تعليمية	كرتون	2.5	60			
AR_25975_60	العاب تعليمية	كرتون	1.75	60			
AR_25978	العاب تعليمية	كرتون	2	48			
AR_25981_72	العاب تعليمية	كرتون	1.75	72			
AR_25989	قبعة سباحة	كرتون	3	120			
AR_26023	دفاتر رسم	كرتون	3	60			
AR_26024	دفاتر رسم	كرتون	7	60			
AR_26025	دفاتر شخصيات بقفل	كرتون	8.25	60			
AR_26026	دفاتر شخصيات 2 حبه	كرتون	9.25	60			
AR_26029	دفاتر فرو بناتي	كرتون	9.5	60			
AR_26052	ليفة جسم	كرتون	1	48			
AR_26053	ليفة أستحمام للظهر	كرتون	1.75	60			
AR_26068	قفل امان ادراج للأطفال 4 حبة	كرتون	4	72			
AR_26072	قفل امان ادراج للأطفال 3 حبة	كرتون	7	72			
AR_26075	سدادة باب 4 قطع	كرتون	1.25	72			
AR_26171	لوحات جداريه	كرتون	5	48			
AR_26187	طاوة	كرتون	2	50			
AR_26189	كسرولا	كرتون	2	30			
AR_26200	صحون حديد	كرتون	0.5	72			
AR_26201	قالب تارت اسود دائري 28 سم	كرتون	9	72			
AR_26233	فواحات عطريه	كرتون	1.75	72			
AR_26238	كرت فواحه سياره 4 حبه	كرتون	2.5	96			
AR_26239	معطر خزانه ملابس	كرتون	8.5	96			
AR_26240	معطر ملابس 2 حبه	كرتون	1	360			
AR_26266	برطمان زجاج	كرتون	5.5	48			
AR_26280	تعليقة خشبية	كرتون	3.25	72			
AR_26281	تعليقة خشبية	كرتون	4.25	72			
AR_26282	تعليقة خشبية	كرتون	3.25	72			
AR_26283	تعليقة خشبية	كرتون	3.25	72			
AR_26284	لوحه خشبية ستاند	كرتون	1.75	96			
AR_26323	مستلزمات عناية القدم	كرتون	2.75	72			
AR_26341	مجموعة عدد مفكات	كرتون	7	60			
AR_26369	تباسي خشب	كرتون	1	40			
							
AR_26373	تباسي خشب 17*29	كرتون	5	48			
AR_26374	تباسي تقديم البيتزاء	كرتون	2	48			
AR_26375	تباسي تقديم البيتزاء	كرتون	3	48			
AR_26376	تباسي تقديم البيتزاء	كرتون	2.5	48			
AR_26377	عازل حراري خشبي بمسكه	كرتون	5.75	72			
AR_26378	عازل حراري خشبي بمسكه	كرتون	6.25	72			
AR_26389	شماعه ملابس	كرتون	0.125	8			
AR_26426	اكياس نفايات اسود 60*50 3رول	كرتون	6.875	48			
AR_26427	اكياس نفايات اسود 100*80 2 رول	كرتون	8.25	48			
AR_26428	اكياس نفايات اسود 120*100 1رول	كرتون	15	48			
AR_26429	ورق نوتة لاصق اشكال	كرتون	2.25	72			
AR_26474	كتب اطفال تعليمية	كرتون	2	72			
AR_26475	كتب اطفال تعليمية	كرتون	1	72			
AR_26476	كتب اطفال تعليمية	كرتون	0.25	72			
AR_26477	كتب اطفال تعليمية	كرتون	7	72			
AR_26478	سبوره اطفال	كرتون	4.25	72			
AR_26479	مريول تلوين مائي للاطفال	كرتون	4	72			
AR_26480	قبضات شعر	كرتون	1.5	72			
